id,email,username,password,name.firstname,name.lastname,address.city
1,john@gmail.com,johnd,m38rmF$,john,doe,kilcoole
2,morrison@gmail.com,mor_2314,83r5^_,david,morrison,kilcoole
3,kevin@gmail.com,kevinryan,kev02937@,kevin,ryan,Cullman
4,don@gmail.com,donero,ewedon,don,romer,San Antonio
5,derek@gmail.com,derek,jklg*_56,derek,powell,san Antonio
6,david_r@gmail.com,david_r,3478*#54,david,russell,el paso
7,miriam@gmail.com,snyder,f238&@*$,miriam,snyder,fresno
8,william@gmail.com,hopkins,William56$hj,william,hopkins,mesa
9,kate@gmail.com,kate_h,kfejk@*_,kate,hale,miami
10,jimmie@gmail.com,jimmie_k,klein*#%*,jimmie,klein,fort wayne
